epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.025,0.009,0.011,0.009,
1,0.008,0.008,0.008,0.005,
2,0.003,0.005,0.001,0.001,
3,0.001,0.002,0.002,0.002,
4,0.002,0.004,0.003,0.002,
5,0.002,0.003,0.003,0.002,
6,0.001,0.002,0.002,0.001,
7,0.001,0.001,0.002,0.001,
8,0.001,0.005,0.005,0.003,
9,0.001,0.002,0.001,0.001,
10,0.002,0.001,0.001,0.0,
11,0.001,0.001,0.001,0.001,
12,0.0,0.001,0.001,0.001,
13,0.001,0.001,0.001,0.001,
14,0.001,0.002,0.001,0.001,
15,0.002,0.003,0.003,0.001,
16,0.001,0.002,0.001,0.001,
17,0.001,0.002,0.002,0.002,
18,0.001,0.006,0.006,0.003,
19,0.001,0.001,0.001,0.0,
20,0.001,0.001,0.001,0.001,
21,0.001,0.002,0.002,0.002,
22,0.001,0.002,0.002,0.001,
23,0.001,0.002,0.002,0.001,
24,0.001,0.003,0.003,0.002,
25,0.001,0.003,0.003,0.002,
26,0.001,0.0,0.001,0.001,
27,0.001,0.001,0.001,0.001,
28,0.001,0.001,0.001,0.001,
29,0.001,0.002,0.002,0.001,
30,0.001,0.001,0.001,0.001,
31,0.002,0.001,0.001,0.0,
32,0.001,0.001,0.001,0.001,
33,0.001,0.002,0.002,0.001,
34,0.001,0.003,0.003,0.002,
35,0.001,0.003,0.001,0.001,
36,0.002,0.001,0.001,0.001,
37,0.001,0.001,0.001,0.0,
38,0.001,0.001,0.001,0.001,
39,0.001,0.001,0.002,0.001,
40,0.001,0.0,0.001,0.001,
41,0.001,0.002,0.003,0.002,
42,0.001,0.001,0.001,0.001,
43,0.001,0.001,0.002,0.001,
44,0.001,0.001,0.001,0.001,
45,0.001,0.002,0.001,0.001,
46,0.001,0.002,0.001,0.001,
47,0.001,0.001,0.001,0.0,
48,0.001,0.002,0.001,0.001,
49,0.001,0.001,0.001,0.001,
50,0.001,0.0,0.001,0.0,
51,0.0,0.001,0.0,0.0,
52,0.001,0.001,0.001,0.001,
53,0.0,0.001,0.001,0.001,
54,0.001,0.001,0.002,0.001,
55,0.001,0.001,0.0,0.0,
56,0.001,0.001,0.0,0.001,
57,0.0,0.002,0.001,0.001,
58,0.001,0.003,0.002,0.002,
59,0.001,0.001,0.001,0.001,
60,0.001,0.001,0.0,0.0,
61,0.001,0.001,0.001,0.0,
62,0.001,0.002,0.001,0.001,
63,0.0,0.001,0.001,0.001,
64,0.0,0.001,0.001,0.001,
65,0.001,0.001,0.001,0.001,
66,0.001,0.001,0.001,0.0,
67,0.001,0.001,0.0,0.001,
68,0.001,0.001,0.001,0.001,
69,0.0,0.0,0.001,0.001,
70,0.001,0.001,0.001,0.001,
71,0.001,0.001,0.002,0.001,
72,0.001,0.001,0.002,0.001,
73,0.001,0.002,0.002,0.001,
74,0.001,0.001,0.001,0.001,
75,0.0,0.001,0.002,0.001,
76,0.002,0.001,0.001,0.001,
77,0.001,0.001,0.001,0.0,
78,0.0,0.001,0.002,0.001,
79,0.001,0.001,0.001,0.001,
80,0.001,0.001,0.001,0.001,
81,0.001,0.001,0.001,0.001,
82,0.001,0.001,0.001,0.001,
83,0.001,0.002,0.001,0.001,
84,0.001,0.001,0.001,0.001,
85,0.001,0.001,0.001,0.001,
86,0.001,0.001,0.001,0.0,
87,0.001,0.002,0.001,0.001,
88,0.001,0.002,0.002,0.001,
89,0.001,0.001,0.002,0.001,
90,0.001,0.001,0.001,0.001,
91,0.001,0.001,0.001,0.0,
92,0.001,0.001,0.001,0.001,
93,0.001,0.0,0.001,0.0,
94,0.001,0.001,0.001,0.001,
95,0.0,0.001,0.001,0.0,
96,0.001,0.002,0.001,0.0,
97,0.001,0.001,0.001,0.001,
98,0.001,0.001,0.001,0.001,
99,0.001,0.001,0.001,0.001,"[0.001, 0.001, 0.001, 0.003, 0.001, 0.002, 0.004, 0.0, 0.001, 0.001]"
